Date,Open,High,Low,Close,Volume,Adj Close
2014-04-17,44.66,46.55,43.91,45.01,12304400,45.01
2014-04-16,45.42,45.56,43.54,44.42,13888200,44.42
2014-04-15,41.28,45.55,40.76,45.52,24226200,45.52
2014-04-14,41.40,41.95,40.12,40.87,10414200,40.87
2014-04-11,40.79,41.10,39.68,40.05,9984700,40.05
2014-04-10,42.85,43.25,40.93,41.34,10698400,41.34
2014-04-09,42.23,43.06,41.77,42.49,14306200,42.49
2014-04-08,43.42,43.42,41.55,41.78,14514500,41.78
2014-04-07,42.87,44.60,42.26,42.45,12053000,42.45
2014-04-04,44.20,44.87,42.37,43.14,13824400,43.14
2014-04-03,45.48,45.61,43.38,44.05,11153300,44.05
2014-04-02,47.40,47.44,45.51,45.73,7911300,45.73
2014-04-01,46.71,47.59,46.18,46.98,6916100,46.98
2014-03-31,47.55,47.75,46.43,46.67,5794500,46.67
2014-03-28,46.65,47.34,45.70,47.30,9610500,47.30
2014-03-27,45.09,46.40,43.31,46.32,15507600,46.32
2014-03-26,48.06,48.30,44.25,44.43,16079700,44.43
2014-03-25,49.35,49.70,47.58,47.88,8225600,47.88
2014-03-24,50.69,50.94,47.77,48.77,12325700,48.77
2014-03-21,50.24,50.92,49.51,50.92,11801400,50.92
2014-03-20,51.00,51.66,49.64,50.12,10086200,50.12
2014-03-19,50.80,51.98,50.71,51.24,7624200,51.24
2014-03-18,52.03,52.21,50.29,51.13,12228900,51.13
2014-03-17,52.08,52.49,51.35,52.05,6600900,52.05
2014-03-14,53.40,53.91,51.80,51.92,9570400,51.92
2014-03-13,54.90,55.45,53.20,53.57,7671500,53.57
2014-03-12,54.25,55.30,53.88,54.50,5818400,54.50
2014-03-11,54.16,55.84,53.80,54.02,11762600,54.02
2014-03-10,54.09,54.59,53.38,53.88,5759600,53.88
2014-03-07,55.18,55.20,53.31,53.53,7311500,53.53
2014-03-06,54.91,56.09,54.70,54.83,9005700,54.83
2014-03-05,54.53,55.03,53.75,54.38,5672000,54.38
2014-03-04,54.25,55.28,54.12,54.28,6706300,54.28
2014-03-03,53.89,54.40,52.90,53.71,9602300,53.71
2014-02-28,55.93,56.00,54.13,54.91,8137200,54.91
2014-02-27,56.34,56.69,55.40,55.77,6537700,55.77
2014-02-26,55.00,56.99,54.90,55.87,12116000,55.87
2014-02-25,55.89,55.95,54.50,54.96,9288500,54.96
2014-02-24,56.03,56.49,55.30,55.78,8451200,55.78
2014-02-21,57.10,57.20,55.70,55.92,7714300,55.92
2014-02-20,55.82,57.08,54.65,56.63,12097500,56.63
2014-02-19,58.47,58.95,54.62,55.50,25772100,55.50
2014-02-18,57.88,58.64,56.77,58.18,10719500,58.18
2014-02-14,57.02,57.86,56.70,57.44,12512400,57.44
2014-02-13,56.07,58.98,55.46,56.47,26009500,56.47
2014-02-12,55.05,57.00,54.76,56.85,20040400,56.85
2014-02-11,53.20,54.40,53.10,54.00,13162900,54.00
2014-02-10,54.50,54.59,52.34,52.92,15857400,52.92
2014-02-07,51.23,54.92,50.75,54.35,32204400,54.35
2014-02-06,50.61,53.90,49.99,50.03,64856500,50.03
2014-02-05,67.16,67.24,64.80,65.97,31504900,65.97
2014-02-04,66.25,66.37,64.50,66.32,13017400,66.32
2014-02-03,65.92,66.48,64.21,65.25,17890300,65.25
